car_ID,symboling,CarName,fueltype,carbody,wheelbase,carlength,carwidth,carheight,cylindernumber,enginesize,horsepower,citympg,highwaympg,price
1,3,alfa-romero giulia,gas,convertible,88.6,168.8,64.1,48.8,four,130,111,21,27,13495
2,3,alfa-romero stelvio,gas,convertible,88.6,168.8,64.1,48.8,four,130,111,21,27,16500
3,1,alfa-romero Quadrifoglio,gas,hatchback,94.5,171.2,65.5,52.4,six,152,154,19,26,16500
4,2,audi 100 ls,gas,sedan,99.8,176.6,66.2,54.3,four,109,102,24,30,13950
5,2,audi 100ls,gas,sedan,99.4,176.6,66.4,54.3,five,136,115,18,22,17450
6,2,audi fox,gas,sedan,99.8,177.3,66.3,53.1,five,136,110,19,25,15250
7,1,audi 100ls,gas,sedan,105.8,192.7,71.4,55.7,five,136,110,19,25,17710
8,1,audi 5000,gas,wagon,105.8,192.7,71.4,55.7,five,136,110,19,25,18920
9,1,audi 4000,gas,sedan,105.8,192.7,71.4,55.9,five,131,140,17,20,23875
10,0,audi 5000s (diesel),gas,hatchback,99.5,178.2,67.9,52,five,131,160,16,22,17859.167
11,2,bmw 320i,gas,sedan,101.2,176.8,64.8,54.3,four,108,101,23,29,16430
12,0,bmw 320i,gas,sedan,101.2,176.8,64.8,54.3,four,108,101,23,29,16925
13,0,bmw x1,gas,sedan,101.2,176.8,64.8,54.3,six,164,121,21,28,20970
14,0,bmw x3,gas,sedan,101.2,176.8,64.8,54.3,six,164,121,21,28,21105
15,1,bmw z4,gas,sedan,103.5,189,66.9,55.7,six,164,121,20,25,24565
16,0,bmw x4,gas,sedan,103.5,189,66.9,55.7,six,209,182,16,22,30760
17,0,bmw x5,gas,sedan,103.5,193.8,67.9,53.7,six,209,182,16,22,41315
18,0,bmw x3,gas,sedan,110,197,70.9,56.3,six,209,182,15,20,36880
19,2,chevrolet impala,gas,hatchback,88.4,141.1,60.3,53.2,three,61,48,47,53,5151
20,1,chevrolet monte carlo,gas,hatchback,94.5,155.9,63.6,52,four,90,70,38,43,6295
21,0,chevrolet vega 2300,gas,sedan,94.5,158.8,63.6,52,four,90,70,38,43,6575
22,1,dodge rampage,gas,hatchback,93.7,157.3,63.8,50.8,four,90,68,37,41,5572
23,1,dodge challenger se,gas,hatchback,93.7,157.3,63.8,50.8,four,90,68,31,38,6377
24,1,dodge d200,gas,hatchback,93.7,157.3,63.8,50.8,four,98,102,24,30,7957
25,1,dodge monaco (sw),gas,hatchback,93.7,157.3,63.8,50.6,four,90,68,31,38,6229
26,1,dodge colt hardtop,gas,sedan,93.7,157.3,63.8,50.6,four,90,68,31,38,6692
27,1,dodge colt (sw),gas,sedan,93.7,157.3,63.8,50.6,four,90,68,31,38,7609
28,1,dodge coronet custom,gas,sedan,93.7,157.3,63.8,50.6,four,98,102,24,30,8558
29,-1,dodge dart custom,gas,wagon,103.3,174.6,64.6,59.8,four,122,88,24,30,8921
30,3,dodge coronet custom (sw),gas,hatchback,95.9,173.2,66.3,50.2,four,156,145,19,24,12964
31,2,honda civic,gas,hatchback,86.6,144.6,63.9,50.8,four,92,58,49,54,6479
32,2,honda civic cvcc,gas,hatchback,86.6,144.6,63.9,50.8,four,92,76,31,38,6855
33,1,honda civic,gas,hatchback,93.7,150,64,52.6,four,79,60,38,42,5399
34,1,honda accord cvcc,gas,hatchback,93.7,150,64,52.6,four,92,76,30,34,6529
35,1,honda civic cvcc,gas,hatchback,93.7,150,64,52.6,four,92,76,30,34,7129
36,0,honda accord lx,gas,sedan,96.5,163.4,64,54.5,four,92,76,30,34,7295
37,0,honda civic 1500 gl,gas,wagon,96.5,157.1,63.9,58.3,four,92,76,30,34,7295
38,0,honda accord,gas,hatchback,96.5,167.5,65.2,53.3,four,110,86,27,33,7895
39,0,honda civic 1300,gas,hatchback,96.5,167.5,65.2,53.3,four,110,86,27,33,9095
40,0,honda prelude,gas,sedan,96.5,175.4,65.2,54.1,four,110,86,27,33,8845
41,0,honda accord,gas,sedan,96.5,175.4,62.5,54.1,four,110,86,27,33,10295
42,0,honda civic,gas,sedan,96.5,175.4,65.2,54.1,four,110,101,24,28,12945
43,1,honda civic (auto),gas,sedan,96.5,169.1,66,51,four,110,100,25,31,10345
44,0,isuzu MU-X,gas,sedan,94.3,170.7,61.8,53.5,four,111,78,24,29,6785
45,1,isuzu D-Max ,gas,sedan,94.5,155.9,63.6,52,four,90,70,38,43,8916.5
46,0,isuzu D-Max V-Cross,gas,sedan,94.5,155.9,63.6,52,four,90,70,38,43,8916.5
47,2,isuzu D-Max ,gas,hatchback,96,172.6,65.2,51.4,four,119,90,24,29,11048
48,0,jaguar xj,gas,sedan,113,199.6,69.6,52.8,six,258,176,15,19,32250
49,0,jaguar xf,gas,sedan,113,199.6,69.6,52.8,six,258,176,15,19,35550
50,0,jaguar xk,gas,sedan,102,191.7,70.6,47.8,twelve,326,262,13,17,36000
51,1,maxda rx3,gas,hatchback,93.1,159.1,64.2,54.1,four,91,68,30,31,5195
52,1,maxda glc deluxe,gas,hatchback,93.1,159.1,64.2,54.1,four,91,68,31,38,6095
53,1,mazda rx2 coupe,gas,hatchback,93.1,159.1,64.2,54.1,four,91,68,31,38,6795
54,1,mazda rx-4,gas,sedan,93.1,166.8,64.2,54.1,four,91,68,31,38,6695
55,1,mazda glc deluxe,gas,sedan,93.1,166.8,64.2,54.1,four,91,68,31,38,7395
56,3,mazda 626,gas,hatchback,95.3,169,65.7,49.6,two,70,101,17,23,10945
57,3,mazda glc,gas,hatchback,95.3,169,65.7,49.6,two,70,101,17,23,11845
58,3,mazda rx-7 gs,gas,hatchback,95.3,169,65.7,49.6,two,70,101,17,23,13645
59,3,mazda glc 4,gas,hatchback,95.3,169,65.7,49.6,two,80,135,16,23,15645
60,1,mazda 626,gas,hatchback,98.8,177.8,66.5,53.7,four,122,84,26,32,8845
61,0,mazda glc custom l,gas,sedan,98.8,177.8,66.5,55.5,four,122,84,26,32,8495
62,1,mazda glc custom,gas,hatchback,98.8,177.8,66.5,53.7,four,122,84,26,32,10595
63,0,mazda rx-4,gas,sedan,98.8,177.8,66.5,55.5,four,122,84,26,32,10245
64,0,mazda glc deluxe,diesel,sedan,98.8,177.8,66.5,55.5,four,122,64,36,42,10795
65,0,mazda 626,gas,hatchback,98.8,177.8,66.5,55.5,four,122,84,26,32,11245
66,0,mazda glc,gas,sedan,104.9,175,66.1,54.4,four,140,120,19,27,18280
67,0,mazda rx-7 gs,diesel,sedan,104.9,175,66.1,54.4,four,134,72,31,39,18344
68,-1,buick electra 225 custom,diesel,sedan,110,190.9,70.3,56.5,five,183,123,22,25,25552
69,-1,buick century luxus (sw),diesel,wagon,110,190.9,70.3,58.7,five,183,123,22,25,28248
70,0,buick century,diesel,hardtop,106.7,187.5,70.3,54.9,five,183,123,22,25,28176
71,-1,buick skyhawk,diesel,sedan,115.6,202.6,71.7,56.3,five,183,123,22,25,31600
72,-1,buick opel isuzu deluxe,gas,sedan,115.6,202.6,71.7,56.5,eight,234,155,16,18,34184
73,3,buick skylark,gas,convertible,96.6,180.3,70.5,50.8,eight,234,155,16,18,35056
74,0,buick century special,gas,sedan,120.9,208.1,71.7,56.7,eight,308,184,14,16,40960
75,1,buick regal sport coupe (turbo),gas,hardtop,112,199.2,72,55.4,eight,304,184,14,16,45400
76,1,mercury cougar,gas,hatchback,102.7,178.4,68,54.8,four,140,175,19,24,16503
77,2,mitsubishi mirage,gas,hatchback,93.7,157.3,64.4,50.8,four,92,68,37,41,5389
78,2,mitsubishi lancer,gas,hatchback,93.7,157.3,64.4,50.8,four,92,68,31,38,6189
79,2,mitsubishi outlander,gas,hatchback,93.7,157.3,64.4,50.8,four,92,68,31,38,6669
80,1,mitsubishi g4,gas,hatchback,93,157.3,63.8,50.8,four,98,102,24,30,7689
81,3,mitsubishi mirage g4,gas,hatchback,96.3,173,65.4,49.4,four,110,116,23,30,9959
82,3,mitsubishi g4,gas,hatchback,96.3,173,65.4,49.4,four,122,88,25,32,8499
83,3,mitsubishi outlander,gas,hatchback,95.9,173.2,66.3,50.2,four,156,145,19,24,12629
84,3,mitsubishi g4,gas,hatchback,95.9,173.2,66.3,50.2,four,156,145,19,24,14869
85,3,mitsubishi mirage g4,gas,hatchback,95.9,173.2,66.3,50.2,four,156,145,19,24,14489
86,1,mitsubishi montero,gas,sedan,96.3,172.4,65.4,51.6,four,122,88,25,32,6989
87,1,mitsubishi pajero,gas,sedan,96.3,172.4,65.4,51.6,four,122,88,25,32,8189
88,1,mitsubishi outlander,gas,sedan,96.3,172.4,65.4,51.6,four,110,116,23,30,9279
89,-1,mitsubishi mirage g4,gas,sedan,96.3,172.4,65.4,51.6,four,110,116,23,30,9279
90,1,Nissan versa,gas,sedan,94.5,165.3,63.8,54.5,four,97,69,31,37,5499
91,1,nissan gt-r,diesel,sedan,94.5,165.3,63.8,54.5,four,103,55,45,50,7099
92,1,nissan rogue,gas,sedan,94.5,165.3,63.8,54.5,four,97,69,31,37,6649
93,1,nissan latio,gas,sedan,94.5,165.3,63.8,54.5,four,97,69,31,37,6849
94,1,nissan titan,gas,wagon,94.5,170.2,63.8,53.5,four,97,69,31,37,7349
95,1,nissan leaf,gas,sedan,94.5,165.3,63.8,54.5,four,97,69,31,37,7299
96,1,nissan juke,gas,hatchback,94.5,165.6,63.8,53.3,four,97,69,31,37,7799
97,1,nissan latio,gas,sedan,94.5,165.3,63.8,54.5,four,97,69,31,37,7499
98,1,nissan note,gas,wagon,94.5,170.2,63.8,53.5,four,97,69,31,37,7999
99,2,nissan clipper,gas,hardtop,95.1,162.4,63.8,53.3,four,97,69,31,37,8249
100,0,nissan rogue,gas,hatchback,97.2,173.4,65.2,54.7,four,120,97,27,34,8949
101,0,nissan nv200,gas,sedan,97.2,173.4,65.2,54.7,four,120,97,27,34,9549
102,0,nissan dayz,gas,sedan,100.4,181.7,66.5,55.1,six,181,152,17,22,13499
103,0,nissan fuga,gas,wagon,100.4,184.6,66.5,56.1,six,181,152,17,22,14399
104,0,nissan otti,gas,sedan,100.4,184.6,66.5,55.1,six,181,152,19,25,13499
105,3,nissan teana,gas,hatchback,91.3,170.7,67.9,49.7,six,181,160,19,25,17199
106,3,nissan kicks,gas,hatchback,91.3,170.7,67.9,49.7,six,181,200,17,23,19699
107,1,nissan clipper,gas,hatchback,99.2,178.5,67.9,49.7,six,181,160,19,25,18399
108,0,peugeot 504,gas,sedan,107.9,186.7,68.4,56.7,four,120,97,19,24,11900
109,0,peugeot 304,diesel,sedan,107.9,186.7,68.4,56.7,four,152,95,28,33,13200
110,0,peugeot 504 (sw),gas,wagon,114.2,198.9,68.4,58.7,four,120,97,19,24,12440
111,0,peugeot 504,diesel,wagon,114.2,198.9,68.4,58.7,four,152,95,25,25,13860
112,0,peugeot 504,gas,sedan,107.9,186.7,68.4,56.7,four,120,95,19,24,15580
113,0,peugeot 604sl,diesel,sedan,107.9,186.7,68.4,56.7,four,152,95,28,33,16900
114,0,peugeot 504,gas,wagon,114.2,198.9,68.4,56.7,four,120,95,19,24,16695
115,0,peugeot 505s turbo diesel,diesel,wagon,114.2,198.9,68.4,58.7,four,152,95,25,25,17075
116,0,peugeot 504,gas,sedan,107.9,186.7,68.4,56.7,four,120,97,19,24,16630
117,0,peugeot 504,diesel,sedan,107.9,186.7,68.4,56.7,four,152,95,28,33,17950
118,0,peugeot 604sl,gas,sedan,108,186.7,68.3,56,four,134,142,18,24,18150
119,1,plymouth fury iii,gas,hatchback,93.7,157.3,63.8,50.8,four,90,68,37,41,5572
120,1,plymouth cricket,gas,hatchback,93.7,157.3,63.8,50.8,four,98,102,24,30,7957
121,1,plymouth fury iii,gas,hatchback,93.7,157.3,63.8,50.6,four,90,68,31,38,6229
122,1,plymouth satellite custom (sw),gas,sedan,93.7,167.3,63.8,50.8,four,90,68,31,38,6692
123,1,plymouth fury gran sedan,gas,sedan,93.7,167.3,63.8,50.8,four,98,68,31,38,7609
124,-1,plymouth valiant,gas,wagon,103.3,174.6,64.6,59.8,four,122,88,24,30,8921
125,3,plymouth duster,gas,hatchback,95.9,173.2,66.3,50.2,four,156,145,19,24,12764
126,3,porsche macan,gas,hatchback,94.5,168.9,68.3,50.2,four,151,143,19,27,22018
127,3,porcshce panamera,gas,hardtop,89.5,168.9,65,51.6,six,194,207,17,25,32528
128,3,porsche cayenne,gas,hardtop,89.5,168.9,65,51.6,six,194,207,17,25,34028
129,3,porsche boxter,gas,convertible,89.5,168.9,65,51.6,six,194,207,17,25,37028
130,1,porsche cayenne,gas,hatchback,98.4,175.7,72.3,50.5,eight,203,288,17,28,31400.5
131,0,renault 12tl,gas,wagon,96.1,181.5,66.5,55.2,four,132,90,23,31,9295
132,2,renault 5 gtl,gas,hatchback,96.1,176.8,66.6,50.5,four,132,90,23,31,9895
133,3,saab 99e,gas,hatchback,99.1,186.6,66.5,56.1,four,121,110,21,28,11850
134,2,saab 99le,gas,sedan,99.1,186.6,66.5,56.1,four,121,110,21,28,12170
135,3,saab 99le,gas,hatchback,99.1,186.6,66.5,56.1,four,121,110,21,28,15040
136,2,saab 99gle,gas,sedan,99.1,186.6,66.5,56.1,four,121,110,21,28,15510
137,3,saab 99gle,gas,hatchback,99.1,186.6,66.5,56.1,four,121,160,19,26,18150
138,2,saab 99e,gas,sedan,99.1,186.6,66.5,56.1,four,121,160,19,26,18620
139,2,subaru,gas,hatchback,93.7,156.9,63.4,53.7,four,97,69,31,36,5118
140,2,subaru dl,gas,hatchback,93.7,157.9,63.6,53.7,four,108,73,26,31,7053
141,2,subaru dl,gas,hatchback,93.3,157.3,63.8,55.7,four,108,73,26,31,7603
142,0,subaru,gas,sedan,97.2,172,65.4,52.5,four,108,82,32,37,7126
143,0,subaru brz,gas,sedan,97.2,172,65.4,52.5,four,108,82,28,33,7775
144,0,subaru baja,gas,sedan,97.2,172,65.4,52.5,four,108,94,26,32,9960
145,0,subaru r1,gas,sedan,97,172,65.4,54.3,four,108,82,24,25,9233
146,0,subaru r2,gas,sedan,97,172,65.4,54.3,four,108,111,24,29,11259
147,0,subaru trezia,gas,wagon,97,173.5,65.4,53,four,108,82,28,32,7463
148,0,subaru tribeca,gas,wagon,97,173.5,65.4,53,four,108,94,25,31,10198
149,0,subaru dl,gas,wagon,96.9,173.6,65.4,54.9,four,108,82,23,29,8013
150,0,subaru dl,gas,wagon,96.9,173.6,65.4,54.9,four,108,111,23,23,11694
151,1,toyota corona mark ii,gas,hatchback,95.7,158.7,63.6,54.5,four,92,62,35,39,5348
152,1,toyota corona,gas,hatchback,95.7,158.7,63.6,54.5,four,92,62,31,38,6338
153,1,toyota corolla 1200,gas,hatchback,95.7,158.7,63.6,54.5,four,92,62,31,38,6488
154,0,toyota corona hardtop,gas,wagon,95.7,169.7,63.6,59.1,four,92,62,31,37,6918
155,0,toyota corolla 1600 (sw),gas,wagon,95.7,169.7,63.6,59.1,four,92,62,27,32,7898
156,0,toyota carina,gas,wagon,95.7,169.7,63.6,59.1,four,92,62,27,32,8778
157,0,toyota mark ii,gas,sedan,95.7,166.3,64.4,53,four,98,70,30,37,6938
158,0,toyota corolla 1200,gas,hatchback,95.7,166.3,64.4,52.8,four,98,70,30,37,7198
159,0,toyota corona,diesel,sedan,95.7,166.3,64.4,53,four,110,56,34,36,7898
160,0,toyota corolla,diesel,hatchback,95.7,166.3,64.4,52.8,four,110,56,38,47,7788
161,0,toyota corona,gas,sedan,95.7,166.3,64.4,53,four,98,70,38,47,7738
162,0,toyota corolla,gas,hatchback,95.7,166.3,64.4,52.8,four,98,70,28,34,8358
163,0,toyota mark ii,gas,sedan,95.7,166.3,64.4,52.8,four,98,70,28,34,9258
164,1,toyota corolla liftback,gas,sedan,94.5,168.7,64,52.6,four,98,70,29,34,8058
165,1,toyota corona,gas,hatchback,94.5,168.7,64,52.6,four,98,70,29,34,8238
166,1,toyota celica gt liftback,gas,sedan,94.5,168.7,64,52.6,four,98,112,26,29,9298
167,1,toyota corolla tercel,gas,hatchback,94.5,168.7,64,52.6,four,98,112,26,29,9538
168,2,toyota corona liftback,gas,hardtop,98.4,176.2,65.6,52,four,146,116,24,30,8449
169,2,toyota corolla,gas,hardtop,98.4,176.2,65.6,52,four,146,116,24,30,9639
170,2,toyota starlet,gas,hatchback,98.4,176.2,65.6,52,four,146,116,24,30,9989
171,2,toyota tercel,gas,hardtop,98.4,176.2,65.6,52,four,146,116,24,30,11199
172,2,toyota corolla,gas,hatchback,98.4,176.2,65.6,52,four,146,116,24,30,11549
173,2,toyota cressida,gas,convertible,98.4,176.2,65.6,53,four,146,116,24,30,17669
174,-1,toyota corolla,gas,sedan,102.4,175.6,66.5,54.9,four,122,92,29,34,8948
175,-1,toyota celica gt,diesel,sedan,102.4,175.6,66.5,54.9,four,110,73,30,33,10698
176,-1,toyota corona,gas,hatchback,102.4,175.6,66.5,53.9,four,122,92,27,32,9988
177,-1,toyota corolla,gas,sedan,102.4,175.6,66.5,54.9,four,122,92,27,32,10898
178,-1,toyota mark ii,gas,hatchback,102.4,175.6,66.5,53.9,four,122,92,27,32,11248
179,3,toyota corolla liftback,gas,hatchback,102.9,183.5,67.7,52,six,171,161,20,24,16558
180,3,toyota corona,gas,hatchback,102.9,183.5,67.7,52,six,171,161,19,24,15998
181,-1,toyota starlet,gas,sedan,104.5,187.8,66.5,54.1,six,171,156,20,24,15690
182,-1,toyouta tercel,gas,wagon,104.5,187.8,66.5,54.1,six,161,156,19,24,15750
183,2,vokswagen rabbit,diesel,sedan,97.3,171.7,65.5,55.7,four,97,52,37,46,7775
184,2,volkswagen 1131 deluxe sedan,gas,sedan,97.3,171.7,65.5,55.7,four,109,85,27,34,7975
185,2,volkswagen model 111,diesel,sedan,97.3,171.7,65.5,55.7,four,97,52,37,46,7995
186,2,volkswagen type 3,gas,sedan,97.3,171.7,65.5,55.7,four,109,85,27,34,8195
187,2,volkswagen 411 (sw),gas,sedan,97.3,171.7,65.5,55.7,four,109,85,27,34,8495
188,2,volkswagen super beetle,diesel,sedan,97.3,171.7,65.5,55.7,four,97,68,37,42,9495
189,2,volkswagen dasher,gas,sedan,97.3,171.7,65.5,55.7,four,109,100,26,32,9995
190,3,vw dasher,gas,convertible,94.5,159.3,64.2,55.6,four,109,90,24,29,11595
191,3,vw rabbit,gas,hatchback,94.5,165.7,64,51.4,four,109,90,24,29,9980
192,0,volkswagen rabbit,gas,sedan,100.4,180.2,66.9,55.1,five,136,110,19,24,13295
193,0,volkswagen rabbit custom,diesel,sedan,100.4,180.2,66.9,55.1,four,97,68,33,38,13845
194,0,volkswagen dasher,gas,wagon,100.4,183.1,66.9,55.1,four,109,88,25,31,12290
195,-2,volvo 145e (sw),gas,sedan,104.3,188.8,67.2,56.2,four,141,114,23,28,12940
196,-1,volvo 144ea,gas,wagon,104.3,188.8,67.2,57.5,four,141,114,23,28,13415
197,-2,volvo 244dl,gas,sedan,104.3,188.8,67.2,56.2,four,141,114,24,28,15985
198,-1,volvo 245,gas,wagon,104.3,188.8,67.2,57.5,four,141,114,24,28,16515
199,-2,volvo 264gl,gas,sedan,104.3,188.8,67.2,56.2,four,130,162,17,22,18420
200,-1,volvo diesel,gas,wagon,104.3,188.8,67.2,57.5,four,130,162,17,22,18950
201,-1,volvo 145e (sw),gas,sedan,109.1,188.8,68.9,55.5,four,141,114,23,28,16845
202,-1,volvo 144ea,gas,sedan,109.1,188.8,68.8,55.5,four,141,160,19,25,19045
203,-1,volvo 244dl,gas,sedan,109.1,188.8,68.9,55.5,six,173,134,18,23,21485
204,-1,volvo 246,diesel,sedan,109.1,188.8,68.9,55.5,six,145,106,26,27,22470
205,-1,volvo 264gl,gas,sedan,109.1,188.8,68.9,55.5,four,141,114,19,25,22625
